,Unnamed: 0,image_path,description,occasion
0,0,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/170.jpg,a suit hanging on a wooden wall,General
1,1,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/387.jpg,a blue and white striped blazer jacket,General
2,2,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/196.jpg,a black jacket hanging on a white wall,General
3,3,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/216.jpg,a suit hanging on a wall,General
4,4,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/34.jpg,a black jacket with a white collar and a black tie,Formal
5,5,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/445.jpg,a suit hanging on a hanger,General
6,6,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/232.jpg,a gray jacket with buttons on the back,General
7,7,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/100.jpg,a suit is sitting on a bed,General
8,8,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/198.jpg,a pink blazer jacket hanging on a blue wall,General
9,9,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/208.jpg,a blue cord jacket hanging on a wooden wall,General
10,10,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/10.jpg,a black jacket hanging on a hanger,General
11,11,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/427.jpg,a navy suit hanging on a wall,General
12,12,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/295.jpg,a black suit with a white stripe pattern,General
13,13,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/500.jpg,a suit on a hanger,General
14,14,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/169.jpg,a tan jacket hanging on a door,General
15,15,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/14.jpg,a brown jacket hanging on a hanger,General
16,16,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/151.jpg,a grey and black jacket hanging on a wall,General
17,17,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/344.jpg,a suit on a mann mann mann mann mann mann mann mann mann mann mann mann mann mann mann mann,General
18,18,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/419.jpg,a black jacket hanging on a wall,General
19,19,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/487.jpg,a black suit hanging on a wall,General
20,20,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/195.jpg,a brown jacket with a button on the front,General
21,21,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/120.jpg,a grey jacket hanging on a wall,General
22,22,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/75.jpg,a black jacket hanging on a white wall,General
23,23,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/51.jpg,a black jacket hanging on a wall,General
24,24,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/313.jpg,a blue jacket hanging on a rack,General
25,25,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/30.jpg,a suit hanging on a hanger,General
26,26,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/129.jpg,a white jacket hanging on a hanger,General
27,27,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/460.jpg,a green suit hanging on a wooden wall,General
28,28,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/192.jpg,a suit hanging on a wall next to a scarf,General
29,29,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/104.jpg,a black suit hanging on a wall,General
30,30,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/84.jpg,a black blazer jacket hanging on a wall,General
31,31,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/240.jpg,a black suit hanging on a hanger,General
32,32,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/150.jpg,a black jacket with gold trims and a white collar,Formal
33,33,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/397.jpg,a suit hanging on a wall,General
34,34,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/92.jpg,a grey jacket hanging on a wall,General
35,35,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/310.jpg,a suit on a hanger,General
36,36,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/11.jpg,a suit on a hanger,General
37,37,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/87.jpg,a grey blazer jacket hanging on a hanger,General
38,38,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/149.jpg,a light grey jacket hanging on a wall,General
39,39,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/457.jpg,a grey jacket hanging on a wall,General
40,40,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/454.jpg,a grey blazer jacket with buttons on the front,General
41,41,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/342.jpg,a black blazer jacket on a bed,General
42,42,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/206.jpg,a brown suit hanging on a wall,General
43,43,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/403.jpg,a suit hanging on a wall,General
44,44,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/303.jpg,a suit hanging on a hanger in a room,General
45,45,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/340.jpg,a black suit hanging on a hanger,General
46,46,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/213.jpg,a suit hanging on a hanger,General
47,47,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/146.jpg,a blue jacket hanging on a wall,General
48,48,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/222.jpg,a brown jacket hanging on a wall,General
49,49,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/250.jpg,a suit hanging on a door,General
50,50,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/469.jpg,a black suit hanging on a wall,General
